State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity,sex_ratio,litracy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,1323667,748939,574728,1417572,484912,84661,2399901,275970,15422,1377,25510,617,322,22120,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632,1536378,704551,422522,77788,150289,8338,96998,306433,403530,559211,77594,27018,80780,107798,103066,417387,182282,132039,114585,12000,648,1604,1266,2870,84,122,206,134,213,347,109,4181,100.0,54.112282803506005
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,2036166,1208544,827622,2044982,879537,105343,3599372,443456,20463,932,341,1417,309,14858,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2189396,1104565,739612,47575,206433,9915,144214,559461,581087,779195,172680,36633,106460,143093,156107,644263,291388,196768,153243,20566,969,2252,1605,3857,143,150,293,176,261,437,243,5799,98.0,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,1933357,1202223,731134,2240707,748093,57269,3737588,397870,24129,867,253,1322,358,11677,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,2148179,1159053,807430,59402,225856,16296,186568,611465,632803,815953,196720,55151,132169,187320,175853,678054,311451,190750,142837,13905,1021,2270,1565,3835,261,125,386,157,218,375,307,5926,100.0,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,2093681,1545831,547850,3060615,1122046,57853,4983330,77777,77825,738,413,4149,403,9661,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2724328,1478954,948122,2892,779052,25381,232073,821421,732492,1088823,278383,95856,239150,335006,275218,952492,468704,208570,112434,7478,1274,2865,1949,4814,189,164,353,195,286,481,290,7211,101.0,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,2381624,1442370,939254,2506189,1227956,47436,4217597,559770,89763,764,323,3282,332,15982,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2583462,1371811,928462,4078,454586,17424,190079,816849,733133,981115,276073,83026,212589,295615,229537,842985,413160,200288,139120,10111,1119,2657,1953,4610,196,188,384,222,328,550,317,6981,100.0,60.56780404651324
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,1413297,1045585,367712,2530026,23029,46157,2046051,1713405,87522,11446,1268,19560,1929,62142,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,2249130,1068243,542669,83281,229561,124106,439890,746818,799174,437146,422826,20495,90415,110910,135609,546260,236179,174472,181806,42536,416,2008,3204,5212,1708,494,2202,671,860,1531,1710,11071,95.0,73.34309160066269
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,1876768,1049463,827305,1899501,756859,168340,3491139,244723,24979,2086,332,312,115,12583,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1940234,1031735,728494,75806,406211,14175,192965,589283,691495,823820,141432,55169,146503,201672,166249,649211,306232,176730,120450,9406,961,2163,1420,3583,128,99,227,119,173,292,186,5251,101.0,58.43940143035361
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,1410062,802906,607156,1387308,804537,19799,2595321,158887,33463,655,217,459,539,7829,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1530602,774583,477955,14230,267852,11887,115078,416734,427722,616617,115379,39441,120442,159883,144836,512966,254089,114041,69643,5094,732,1584,1012,2596,75,78,153,92,136,228,127,3836,101.0,58.27738196949277
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,2048880,1327299,721581,2468518,1006976,48444,4023678,307043,145598,1393,863,6320,906,31597,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2340943,1284630,833959,57866,525079,27969,212111,794346,743696,863382,328243,81004,218150,299154,235751,824868,417156,171961,95350,7885,1054,2557,2029,4586,270,180,450,218,313,531,364,6983,99.0,66.62503503122815
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,2029425,1164122,865303,2024038,1037302,60791,3328380,670737,33165,737,255,2235,434,17520,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2368684,1053618,609027,22134,271815,10622,118153,543044,572406,710444,156505,29425,86663,116088,120568,547505,238908,188029,181675,31914,1042,2163,1355,3518,108,114,222,134,199,333,185,5301,99.0,52.47762222080231
